C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
D4:1
GND1:1
GND2:1
INPUT1:1
OUTPUT1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:1
R60:1
R7:1
R8:1
R9:1
RV1:1
RV10:1
RV11:1
RV12:1
RV13:1
RV14:1
RV15:1
RV16:1
RV17:1
RV2:1
RV3:1
RV4:1
RV5:1
RV6:1
RV7:1
RV8:1
RV9:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
V_SUPPLY1:1
V_SUPPLY2:1
