5V1:1
C1:1
C2:1
C3:1
D1:1
D2:1
D3:1
D4:1
GND1:1
INPUT1:1
OUTPUT2:1
R3:1
R4:1
R5:1
R6:1
R7:1
RV1:1
RV2:1
RV3:1
U1:1
U2:1
