Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_1x10_P2.54mm_Vertical,1,LEFT,
J2,PinSocket_1x10_P2.54mm_Vertical,1,RIGHT,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,~,
